kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"403823","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1151","2",3203412000
"403823","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","1151","2",268180000
"403823","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","1151","2",178028000
"403823","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","1151","2",240948000
"403823","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","1151","2",39660000
"403823","032","03212","521113","03212WA","2378","EBA","2","A","0","00000001","1151","2",5676000
"403823","032","03212","522151","03212WA","2378","EBA","2","A","0","00000001","1151","2",640000
"403823","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","1151","2",91000000
"403823","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","1151","2",4428000
"403823","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","1151","2",1475600000
"652009","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","1206","2",144912000
"652009","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","1206","2",2753887000
"652009","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","1206","2",31200000
"652009","032","03212","511152","03212WA","2378","EBA","2","A","0","00000001","1206","2",513376000
"652009","032","03212","521219","03212WA","2378","EBA","2","A","0","00000001","1206","2",10105000
"403824","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","0210","2",60000000
"403832","032","03212","512211","03212WA","2378","EBA","2","A","0","00000001","0211","2",6234000
"403832","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0211","2",301799000
"403824","032","03212","512211","03212WA","2378","EBA","2","A","0","00000001","0210","2",160920000
"403832","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","0211","2",2400000
"653526","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0211","2",25740000
"403824","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0210","2",99406000
"403832","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0211","2",83000000
"403832","032","03212","524113","03212WA","2378","EBA","2","A","0","00000001","0211","2",15000000
"653526","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0211","2",125352000
"403824","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","0210","2",85499000
"653526","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","0211","2",18090000
"653526","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0211","2",393256000
"403824","032","03212","521211","03212WA","2378","EBD","2","A","0","00000001","0210","2",8450000
"653526","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0211","2",2785056000
"403832","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","0211","2",4580000
"403832","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0211","2",73800000
"403832","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0211","2",2292226000
"403829","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0252","2",666900000
"403830","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","0258","2",8160000
"403830","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0258","2",157005000
"403829","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0252","2",24000
"403829","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","0252","2",30862000
"403829","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","0252","2",882266000
"403830","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","0258","2",44700000
"403830","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0258","2",112145000
"403879","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0222","2",6480000
"403879","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","0222","2",122925000
"403879","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","0222","2",12950000
"403879","032","03212","521131","03212WA","2378","EBA","2","A","0","00000001","0222","2",28080000
"403879","032","03212","512211","03212WA","2378","EBA","2","A","0","00000001","0222","2",111085000
"403879","032","03212","521811","03212DL","2376","SAC","2","A","0","00000001","0222","2",674477000
"403879","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0222","2",27000
"403879","032","03212","511153","03212WA","2378","EBA","2","A","0","00000001","0222","2",214926000
"403879","032","03212","521832","03212DL","2376","SAC","2","A","0","00000001","0222","2",45000000
"403826","032","03212","521211","03212WA","2378","EBC","2","A","0","00000001","2251","2",400000
"403826","032","03212","524111","03212WA","2378","EBC","2","A","0","00000001","2251","2",16465000
"403826","032","03212","521131","03212WA","2378","EBA","2","A","0","00000001","2251","2",43360000
"403826","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","2251","2",68870000
"403826","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","2251","2",2100000
"403838","032","03212","521219","03212DL","2376","QDD","2","A","0","00000001","2451","2",60000000
"245124","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","2451","2",22500000
"245124","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2451","2",12978000
"403838","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","2451","2",34306000
"245124","032","03212","524113","03212WA","2378","EBD","2","A","0","00000001","2451","2",1800000
"403838","032","03212","521219","03212DL","2376","SDA","2","A","0","00000001","2451","2",84000000
"403838","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","2451","2",358200000
"245124","032","03212","522121","03212WA","2378","EBA","2","A","0","00000001","2451","2",3000000
"245124","032","03212","522192","03212DL","2376","SAC","2","A","0","00000001","2451","2",13612000
"245124","032","03212","522141","03212WA","2378","EBA","2","A","0","00000001","2451","2",132000000
"403838","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","2451","2",135130000
"403838","032","03212","524113","03212DL","2376","SAC","2","A","0","00000001","2451","2",54300000
"245124","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","2451","2",82951000
"245124","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","2451","2",201000000
"245124","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","2451","2",12000000
"427582","032","03212","521832","03212DL","2376","SAC","2","A","0","00000001","1312","2",706581000
"427582","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","1312","2",2657642000
"427582","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","1312","2",156148000
"427582","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","1312","2",46848000
"427582","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1312","2",247149000
"427582","032","03212","521832","03212WA","2378","EBA","2","A","0","00000001","1312","2",22450000
"427602","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1905","2",384750000
"427602","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1905","2",361600000
"427602","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","1905","2",62400000
"403839","032","03212","521211","03212DL","2376","SDA","2","A","0","00000001","1905","2",82410000
"403839","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","1905","2",109828000
"427602","032","03212","523121","03212DL","2376","SAC","2","A","0","00000001","1905","2",18750000
"427602","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","1905","2",150720000
"427602","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","1905","2",6400000
