kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"403823","032","03212","425439","0000000","0000","000","0","0","0","00000000","0000","2",13660000
"652009","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",8750000
"403830","032","03212","425439","0000000","0000","000","0","0","0","00000000","0000","2",103180000
"403879","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",24000000
"403838","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",26700000
"238755","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",302000000
"403837","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",7879440
"352595","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",31250000
"239188","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",3129000
"239188","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",132590000
"237373","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",1845000
"403875","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",12998000
"238741","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",982800000
"238741","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",17340000
"403818","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",3697000
"622035","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",510877000
"427511","032","03212","425132","0000000","0000","000","0","0","0","00000000","0000","2",120000000
"403833","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",3180000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",24702980
"427573","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",1232500000
"403832","032","03212","425439","0000000","0000","000","0","0","0","00000000","0000","2",204545000
"403828","032","03212","425439","0000000","0000","000","0","0","0","00000000","0000","2",230270000
"622035","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",90200000
"427511","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",661050000
"239260","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",98500000
"427573","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",16125000
"427573","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",11350000
"652009","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",391250000
"653526","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",53200000
"403879","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",22500000
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",6336000
"245124","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",72500000
"427602","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",800225000
"427618","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",11875000
"427618","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",111001000
"427618","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",51650000
"634146","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",3300000
"427630","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",4950000
