kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403834","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0401","2",10/05/2022,130984729
"403826","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","2251","2",03/01/2022,15130000
"403826","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","2251","2",27/01/2022,3132330
"403826","032","03212","522141","03212WA","2378","EBA","2","A","0","00000001","2251","2",27/01/2022,1100000
"403826","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2251","2",20/04/2022,2150990
"403826","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","2251","2",19/04/2022,60451890
"403826","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","2251","2",14/04/2022,1757940
"403826","032","03212","524114","03212WA","2378","EBD","2","A","0","00000001","2251","2",03/06/2022,230000
"403838","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","2451","2",01/03/2022,15710000
"245124","032","03212","512211","03212WA","2378","EBA","2","A","0","00000001","2451","2",15/03/2022,3165000
"403838","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","2451","2",01/04/2022,167322
"245124","032","03212","522141","03212WA","2378","EBA","2","A","0","00000001","2451","2",06/04/2022,11000000
"245124","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","2451","2",06/04/2022,2070000
"403838","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","2451","2",30/03/2022,1000000
"245124","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","2451","2",21/04/2022,1080000
"403838","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","2451","2",25/04/2022,1294260
"403838","032","03212","511153","03212WA","2378","EBA","2","A","0","00000001","2451","2",20/05/2022,2860500
"245124","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","2451","2",01/06/2022,2389860
"245124","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","2451","2",03/06/2022,8966308
"403838","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","2451","2",15/06/2022,13229000
"245124","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","2451","2",24/06/2022,68820
"427582","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","1312","2",03/01/2022,74698
"427582","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1312","2",03/01/2022,5188766
"427582","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","1312","2",01/02/2022,2656
"427582","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","1312","2",17/02/2022,9200
"427582","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","1312","2",17/02/2022,92000
"427582","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","1312","2",02/03/2022,10106000
"427582","032","03212","511121","ZZZZZZZ","ZZZZ","ZZZ","2","A","0","00000001","ZZZZ","7",15/03/2022,21080
"427582","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","1312","2",11/03/2022,2260000
"427582","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1312","2",08/04/2022,40208000
"427582","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","1312","2",08/04/2022,48100
