kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"238010","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",10/06/2022,8900000
"238010","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",02/06/2022,1900000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",14/01/2022,17260000
"403838","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",27/05/2022,975000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",20/04/2022,100000
"427582","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",01/04/2022,426000
"403839","032","03212","425132","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2022,0
"403839","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2022,797076
"427618","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",31/03/2022,1589000
"634146","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",17/05/2022,334020
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",04/03/2022,32400000
"239188","032","03212","424911","0000000","0000","000","0","F","0","00000001","0000","2",20/06/2022,693246
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",20/04/2022,200000
"440013","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",23/05/2022,150000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",20/01/2022,925000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",25/04/2022,170000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/04/2022,2700000
"427511","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/05/2022,2900129
"238010","032","03212","425913","0000000","0000","000","0","D","0","00000001","0000","2",21/03/2022,11359513
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",28/03/2022,1092000
"238010","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",25/03/2022,200000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,1198642
"427573","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/04/2022,1950000
"403829","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",16/06/2022,92
"245124","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",23/02/2022,1000000
"403839","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",11/02/2022,16400000
"403828","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",21/03/2022,1950000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",03/02/2022,6525000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/06/2022,450000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",11/02/2022,6525000
"238010","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/03/2022,200000
"238010","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",17/03/2022,3900000
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2022,575519
"653526","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",22/03/2022,15600000
"403839","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",26/01/2022,653680
"427630","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",26/01/2022,13200000
"634146","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",16/06/2022,1740000
"634146","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",19/05/2022,250515
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",25/02/2022,100000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",18/03/2022,200000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",10/02/2022,12300000
"239188","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",20/01/2022,110000
"239188","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",19/01/2022,220000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2022,100000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",08/04/2022,1050000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",05/01/2022,27489
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",10/02/2022,6525000
"238010","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",08/06/2022,1500000
"403832","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2022,404000
"403838","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",15/06/2022,495000
"427582","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,1119756
"427618","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",31/03/2022,7500000
"634146","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",08/06/2022,4201000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",12/04/2022,100000
"238762","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2022,1400000
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",09/02/2022,1000000
"239188","032","03212","424112","0000000","0000","000","0","F","0","00000001","0000","2",20/06/2022,474546000
"403827","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",16/06/2022,400000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/03/2022,6525000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2022,19575000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2022,1198642
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",14/03/2022,2237000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",04/04/2022,880000
"427582","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",24/01/2022,42000000
"427582","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",03/06/2022,7000000
"238755","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/05/2022,2151169
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/03/2022,1800000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",10/03/2022,2200000
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",10/01/2022,29700000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",22/04/2022,100000
