kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"238010","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",86400000
"238010","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",24400000
"427511","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",1624200000
"427511","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",1019890000
"427551","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",78000000
"427582","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",14000000
"427582","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",111858000
"427602","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",92396000
"427618","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",3300000
"403817","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",4290000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",2508000
"403823","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",6000000
"403823","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",10360000
"403829","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",71750000
"403837","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",40000000
"403839","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",30225000
"352595","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",48000000
"352595","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",8875000
"440013","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",56100000
"440013","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",50000000
"239188","032","03212","424919","0000000","0000","000","0","0","0","00000000","0000","2",4160000
"238762","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",1000000
"238762","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",1770000
"238010","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",471160000
"239260","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",20000000
"427618","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",72219000
"403827","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",137500000
"403828","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",93915000
"403832","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",213805000
"403838","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",93200000
"440013","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",19600000
"238755","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",25862000
"238010","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"427551","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",172090000
"427573","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",168000000
"427582","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",140000000
"622035","032","03212","424112","0000000","0000","000","0","0","0","00000000","0000","2",112250000
"634146","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",142000000
"245124","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",1850000
"403820","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",530000
"403833","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",1875000
"403837","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",246000000
"403839","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",256000000
"440013","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",30245000
"238762","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",121400000
"427511","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",4200000
"427630","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",84750000
"634146","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",13325000
"403817","032","03212","425439","0000000","0000","000","0","0","0","00000000","0000","2",500000
"403823","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",1038000
"403823","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",5550000
"403824","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",2710000
"403837","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",28075000
