kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403832","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",09/09/2021,230000
"403824","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",05/02/2021,575000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",23/09/2021,3156000
"403824","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/07/2021,558360
"403829","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",04/06/2021,1225000
"403879","032","03212","425811","0000000","0000","000","0","D","0","00000001","0000","2",14/04/2021,1252085
"403838","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/10/2021,32831
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",28/01/2021,300000
"427582","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",05/04/2021,300000
"403839","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",18/08/2021,2550000
"403839","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/08/2021,797076
"238755","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",29/03/2021,4712589
"427618","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/06/2021,1826210
"634146","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/04/2021,371800
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",14/09/2021,800000
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",19/01/2021,17160000
"239188","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",03/12/2021,85318000
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",18/01/2021,1200000
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",16/03/2021,2400000
"403875","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",29/10/2021,3390000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",25/02/2021,2600000
"238741","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",18/01/2021,24
"403818","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",16/11/2021,450000
"440013","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/09/2021,114830
"403818","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/04/2021,302946
"403818","032","03212","425999","0000000","0000","000","0","D","0","00000001","0000","2",03/11/2021,1700000
"403828","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2021,1641650
"403828","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",18/03/2021,647500
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",15/09/2021,17775000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2021,3000000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/11/2021,300000
"626402","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",02/09/2021,48198000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",14/07/2021,2400000
"626402","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",30/06/2021,10254750
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",24/11/2021,300000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/11/2021,450000
"238010","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/04/2021,5117306
"238010","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/12/2021,5044600
"238010","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",16/08/2021,300000
"403833","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",12/01/2021,932857
"403833","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/08/2021,630042
"427551","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",01/10/2021,800000
"427573","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",14/10/2021,52030000
"403823","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2021,1520690
"403832","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2021,569050
"403832","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",16/09/2021,5750000
"653526","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",01/07/2021,184080
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",10/12/2021,9280000
"403824","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/04/2021,558360
"403830","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",25/10/2021,1948
"403829","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",18/03/2021,4622376
"403838","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",17/02/2021,1000000
"403838","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",27/01/2021,50000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",29/07/2021,100000
"427582","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",31/08/2021,1800000
"427602","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2021,1491520
"403839","032","03212","425999","0000000","0000","000","0","D","0","00000001","0000","2",31/03/2021,0
"238755","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2021,1670052
"427618","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",15/12/2021,1144000
"238755","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",07/06/2021,4860000
"238755","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",06/09/2021,7793000
"427618","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",23/06/2021,18500000
"427630","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/09/2021,322740
"427630","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",08/11/2021,2500000
"634146","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2021,371800
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/01/2021,200000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",22/03/2021,100000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",30/09/2021,400000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",14/07/2021,500000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",02/07/2021,300000
"403837","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",02/11/2021,546000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",11/06/2021,525000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",02/03/2021,28800000
"238762","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",28/04/2021,0
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",05/04/2021,9600000
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",14/06/2021,750000
"403827","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2021,904350
"440013","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2021,114830
"403827","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2021,800000
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",08/11/2021,400000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",01/12/2021,2350000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",03/05/2021,1950000
"403821","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",06/08/2021,208
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",05/08/2021,150000
"626402","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",30/06/2021,62550000
"653526","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",06/07/2021,30800
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",19/11/2021,14922000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",30/11/2021,2300000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",11/11/2021,100000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",26/11/2021,100000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",12/07/2021,400000
"403839","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",05/07/2021,1200000
"427602","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2021,1978000
"427602","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",31/12/2021,41496545
"238755","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",02/11/2021,20400000
"427618","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",30/09/2021,7216525
"634146","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",11/11/2021,700000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",29/06/2021,375000
"403837","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/10/2021,2685382
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",01/04/2021,1200000
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",08/02/2021,3600000
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",25/06/2021,450000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",11/11/2021,1265000
"403827","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",19/02/2021,3200000
"440013","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",02/06/2021,1005000
"403827","032","03212","425764","0000000","0000","000","0","D","0","00000001","0000","2",30/11/2021,1680596
"427511","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",03/02/2021,392400
"427511","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",05/04/2021,121775000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",05/10/2021,9975000
"238010","032","03212","425811","0000000","0000","000","0","D","0","00000001","0000","2",24/09/2021,1332500
"238010","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",30/11/2021,30000
"427551","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2021,1272562
"403817","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",05/07/2021,925250
"427573","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",14/06/2021,1050000
"427573","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",11/02/2021,36
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",06/12/2021,2415000
"403832","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",26/04/2021,500000
"403832","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",18/11/2021,12830000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",14/12/2021,3625000
"403829","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",10/06/2021,6300000
"403830","032","03212","425999","0000000","0000","000","0","D","0","00000001","0000","2",24/02/2021,1110000
"403879","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",30/06/2021,6300000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",15/12/2021,9700000
"427602","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/05/2021,1491520
"403839","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",26/07/2021,300000
"427618","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",27/04/2021,26230000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",04/02/2021,100000
"634146","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",23/09/2021,64845000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",17/11/2021,10600000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",14/01/2021,200000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",02/06/2021,300000
"238762","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",16/07/2021,2400000
"238762","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",28/04/2021,73600
"237373","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",09/12/2021,672
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",21/04/2021,3000000
"403875","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",04/11/2021,100000
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",31/05/2021,750000
"403827","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",22/02/2021,1050000
"403818","032","03212","425999","0000000","0000","000","0","D","0","00000001","0000","2",04/10/2021,1700000
"403818","032","03212","425999","0000000","0000","000","0","D","0","00000001","0000","2",03/12/2021,1700000
"403828","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",18/05/2021,100
"403828","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",19/04/2021,510000
"403828","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",06/08/2021,540000
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",19/11/2021,4860000
"622035","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/06/2021,2274360
"622035","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",17/02/2021,1201200
"622035","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",29/10/2021,200000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/01/2021,1500000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",28/07/2021,6675000
"427511","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",03/06/2021,225000
"403833","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",22/01/2021,170
"427551","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",22/03/2021,3100000
"427573","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",14/01/2021,2500000
"652009","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",27/07/2021,2150000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",08/12/2021,745000
"245124","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",29/07/2021,1000000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",04/11/2021,100000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",03/03/2021,1600000
"427582","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",29/03/2021,2000000
"403839","032","03212","425913","0000000","0000","000","0","D","0","00000001","0000","2",16/06/2021,0
"427602","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/10/2021,1476020
"238755","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",13/09/2021,30595000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",02/02/2021,800000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",22/09/2021,700000
"238762","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",04/01/2021,2880000
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2021,3000000
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",26/03/2021,59900000
"237373","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",08/10/2021,155000
"238741","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",24/09/2021,49200000
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",05/10/2021,100000
"403828","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",29/07/2021,329268000
"622035","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",21/10/2021,750000
"622035","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",21/10/2021,3300000
"622035","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/10/2021,3100000
"427511","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",12/04/2021,720000
"403816","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",25/10/2021,97235666
"427511","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",15/07/2021,12383000
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",10/06/2021,27489
"427511","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",24/09/2021,75000
"239260","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/06/2021,1593900
"238010","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",31/12/2021,1100000
"427573","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",25/06/2021,375000
"403823","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",16/04/2021,204
"403824","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/05/2021,558360
"403832","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",06/12/2021,13325000
"403829","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",20/12/2021,10050000
"403879","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/07/2021,500000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",28/06/2021,400000
"403838","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",25/06/2021,150000
"403839","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",17/06/2021,1950000
"403839","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/08/2021,200000
"403839","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",14/06/2021,375000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",31/08/2021,4200000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/05/2021,300000
"427630","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",18/10/2021,6000000
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",24/06/2021,300000
"403837","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",03/06/2021,375000
"238762","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/09/2021,637250
"238762","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2021,342
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",05/07/2021,600000
"403875","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",07/12/2021,2625000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",24/09/2021,2870000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",21/10/2021,8550000
"403827","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",18/06/2021,22334665
"403828","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",10/05/2021,229250
"403828","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/08/2021,2440400
"403828","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",06/10/2021,600000
"622035","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",02/03/2021,125250
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/04/2021,3150000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",14/06/2021,600000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/01/2021,2700000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/05/2021,450000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",12/04/2021,450000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",09/08/2021,7875000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",07/09/2021,13500000
"427511","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",16/11/2021,35100000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",16/12/2021,300000
"239260","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",18/03/2021,9820733
"427551","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/12/2021,6900000
"427573","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",10/12/2021,31008000
"427573","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",17/06/2021,1350000
"403823","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",22/01/2021,4242155
"403823","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",21/01/2021,4174055
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",12/10/2021,60000
"403829","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2021,200
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",05/11/2021,100000
"245124","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",03/11/2021,10000000
"427582","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",05/02/2021,32200000
"427582","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",27/09/2021,300000
"427602","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/09/2021,1491520
"403839","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",09/07/2021,5400000
